0,1,2,credits,imdbId,movieId,overview,popularity,production_countries,release_date,tmdbId,vote_average
1797,Everest (1998),Documentary,David Breashears,120661.0,1797.0,"An international team of climbers ascends Mt. Everest in the spring of 1996. The film depicts their lengthy preparations for the climb, their trek to the summit, and their successful return to Base Camp. It also shows many of the challenges the group faced, including avalanches, lack of oxygen, treacherous ice walls, and a deadly blizzard.",2.374,United States of America,1998-03-06,21736.0,6.7
1798,Hush (1998),Thriller,Jonathan Darby,118744.0,1798.0,"Jackson and Helen are in love and about to have their first child when they move in with Jackson's mother, Martha, in order to take care of the family estate. But all is not well in this household. Martha is jealous of her son's affection for Helen, and, despite her Southern smile, she's starting to act strangely. As Helen tries to create a happy home life, Martha attempts to divide the family so that Jackson will become hers alone.",6.21,United States of America,1998-03-06,17941.0,5.7
1799,Suicide Kings (1997),Crime|Drama,Peter O'Fallon,120241.0,1799.0,"Charlie, a former mobster, is abducted by five privileged young men desperate to raise a $2 million ransom to save the sister of a friend. As Charlie plays mind games, however, his captors splinter -- each wondering whether one of their own had a hand in the crime.",6.6160000000000005,United States of America,1998-04-17,10668.0,6.6
1801,"Man in the Iron Mask, The (1998)",Action|Drama|Romance,Randall Wallace,120744.0,1801.0,"Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe.",10.175,United Kingdom,1998-03-12,9313.0,6.5
1804,"Newton Boys, The (1998)",Crime|Drama,Richard Linklater,120769.0,1804.0,"Four Newton brothers are a poor farmer family in the 1920s. The oldest of them, Willis, one day realizes that there's no future in the fields and offers his brothers to become a bank robbers. Soon the family agrees. They become very famous robbers, and five years later execute the greatest train robbery in American history.",6.162000000000001,United States of America,1998-03-26,42807.0,6.0
1805,Wild Things (1998),Crime|Drama|Mystery|Thriller,John McNaughton,120890.0,1805.0,"When teen-socialite Kelly Van Ryan and troubled bad girl Suzie Toller accuse guidance counselor Sam Lombardo of rape, he's suspended by the school, rejected by the town, and fighting to get his life back. One cop suspects conspiracy, but nothing is what it seems...",10.52,United States of America,1998-03-20,617.0,6.3
1806,Paulie (1998),Adventure|Children's|Comedy,John Roberts,125454.0,1806.0,"Paulie, an intelligent parrot who actually talks, relates the story of his struggle to a Russian immigrant who works as a janitor at the research institute where he is housed and neglected. Paulie's story begins many years earlier when he is given as a gift to a little girl who stutters. Eventually, he teaches the girl to speak correctly but is taken away by her father because he believes the girl cannot distinguish fantasy from reality because she believes the bird can talk. Paulie goes through a series of adventures with a pawn shop owner, an aging widow, a Mexican-American troubadour and a would be thief before being taken to the institute where he now lives",7.263,United States of America,1998-04-17,36568.0,6.2
1807,"Cool Dry Place, A (1998)",Drama,John N. Smith,,,"A single father balances his work as an attorney with the care of his five year old son and his work as a high school basketball coach in rural Kansas, where he moved after his wife abandoned him in Chicago. Just as he starts to develop a new relationship with a veterinarian's assistant, his ex-wife suddenly reappears and wants to re-assert herself in her husband and son's life. On top of the romantic conflict, he is also suddenly presented with the opportunity of a lifetime to join a major firm in Dallas.",0.667,United States of America,1998-01-29,,5.7
1809,Hana-bi (1997),Comedy|Crime|Drama,Yasushi Tsuge,,,"A police officer leaves the force in the face of harrowing personal and professional difficulties. Spiraling into a depression, he makes questionable decisions.",5.312,Japan,1997-09-03,,7.6
1810,Primary Colors (1998),Drama,Mike Nichols,119942.0,1810.0,"In this adaptation of the best-selling roman à clef about Bill Clinton's 1992 run for the White House, the young and gifted Henry Burton is tapped to oversee the presidential campaign of Governor Jack Stanton. Burton is pulled into the politician's colorful world and looks on as Stanton -- who has a wandering eye that could be his downfall -- contends with his ambitious wife, Susan, and an outspoken adviser, Richard Jemmons.",8.271,France,1998-03-20,9440.0,6.2
1811,"Niagara, Niagara (1997)",Drama,Bob Gosse,119780.0,1811.0,"""Niagra, Niagra"" begins quietly in a drugstore in Poughkeepsie, where Marcie, the film's disarming heroine, likes to shoplift. She literally crashes into Seth, a quiet outsider, also on a shoplifting spree. Marcie invites Seth to accompany her to Canada to find a black hairstyling head. They set off in Seth's beat-up station wagon, destined for a toy store in Toronto. While on the road, Marcie confides to Seth that she has Tourette's syndrome, necessitating a series of detours to liquor stories and pharmacies along the roads of upstate New York.",1.242,Canada,1997-08-30,53092.0,7.7
1812,Wide Awake (1998),Children's|Comedy|Drama,M. Night Shyamalan,120510.0,1812.0,"The tale of a ten-year-old boy in a Catholic school who, following the death of his beloved grandfather, embarks on a quest to discover the meaning of life.",2.345,United States of America,1998-03-20,32911.0,5.7
1814,"Price Above Rubies, A (1998)",Drama,Boaz Yakin,120793.0,1814.0,About a young woman who is married to a devout Jew and the problems that trouble their marriage because of the woman wanting something more out of her life.,2.083,United Kingdom,1998-03-26,44308.0,5.8
1815,Eden (1997),Drama,,119049.0,1815.0,"Story of a New England boys' school and of one of the students who is infatuated with an instructor's wife who has Multiple Sclerosis. The woman struggles to show her strict husband how love rather than demands helps the student to blossom, but finally she falls into a coma. While she is able to have some 'looking down' awareness of what is happening, her coma is what brings her husband to an understanding of the needs of others.",,,,124821.0,
1816,Two Girls and a Guy (1997),Comedy|Drama,James Toback,124179.0,1816.0,"Two women confront their boyfriend, a two-timing actor who professed eternal love to each.",3.103,United States of America,1997-09-07,32456.0,5.4
1817,No Looking Back (1998),Comedy|Drama|Romance,Edward Burns,119560.0,1817.0,Charlie returns to his old town where he meets his ex-girlfriend again and tries to get her back.,0.618,United States of America,1998-03-27,93350.0,5.0
1819,Storefront Hitchcock (1997),Drama,Jonathan Demme,120219.0,1819.0,"Live performance by Robyn Hitchcock, in... well, a storefront.",0.6,,1998-03-27,62695.0,7.0
1820,"Proposition, The (1998)",Drama,Lesli Linka Glatter,120108.0,1820.0,"Father Michael McKinnon goes from the UK to Boston circa 1935. For unknown reasons, he avoids at all costs the most prominent parishioners, Arthur and Eleanor Barret. Meanwhile Eleanor and Arthur desperately want to have a child, but Arthur is sterile, so they hire Harvard law student Roger Martin to impregnate Eleanor, but unfortunately Roger falls in love with her.",1.96,United States of America,1998-03-26,32144.0,5.7
1821,"Object of My Affection, The (1998)",Comedy|Romance,Nicholas Hytner,120772.0,1821.0,"A pregnant New York social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend.",5.442,United States of America,1998-04-17,17127.0,5.8
1822,Meet the Deedles (1998),Children's|Comedy,Steve Boyum,120645.0,1822.0,Two surfers end up as Yellowstone park rangers and have to stop a former ranger who is out for revenge.,2.522,,1998-03-27,40688.0,4.0
1824,Homegrown (1998),Comedy|Thriller,Stephen Gyllenhaal,119305.0,1824.0,"Three laborers on a Northern California marijuana plantation become increasingly paranoid when they learn that their boss has been murdered. They know enough to run, taking with them enough of the crop to pay them for services rendered. Hooking up with go-between Lucy in the next town, they plot their next move.",3.133,United States of America,1998-04-17,17133.0,5.5
1825,"Player's Club, The (1998)",Action|Drama,Ice Cube,119905.0,1825.0,"Young single mother Diana struggles to provide for her child and pay for her college education. She ends up working at a shoe store, but meets two strippers from a nearby gentlemen's club who convince her there's fast money to be made stripping. At the Players Club, however, Diana faces danger and heartbreak.",3.279,United States of America,1998-04-08,19848.0,6.3
1826,Barney's Great Adventure (1998),Adventure|Children's,Steve Gomer,120598.0,1826.0,"Mom and dad dump son Cody, daughter Abby, her best friend Marcella and a baby on the farm with Grandpa and Grandma. Purple dinosaur Barney soon appears to entertain kids, and when a large colorful egg deposited on a farm by a shooting star is accidentally carted off, Barney and kids start their chase for it",0.96,United States of America,1998-01-01,17644.0,2.9
1827,"Big One, The (1997)",Comedy|Documentary,Michael Moore,124295.0,1827.0,"The Big One is an investigative documentary from director Michael Moore who goes around the country asking why big American corporations produce their product abroad where labor is cheaper while so many Americans are unemployed, losing their jobs, and would happily be hired by such companies as Nike.",2.632,United Kingdom,1997-09-06,1774.0,6.9
1829,Chinese Box (1997),Drama|Romance,Wayne Wang,118851.0,1829.0,"The story of Hong Kong, from New Year's Day to June 30th, 1997, when the British left their colony and turned it over to the People's Republic of China.",3.154,France,1997-09-04,30265.0,5.9
1830,Follow the Bitch (1998),Comedy,,,,"A group of single guys meet for their weekly, all male, all-night poker game. One of the regulars invites a woman (Liz) to join and she turns out to be a very good player. Things get more complicated when two of the guys (Ty and Gordon) confide to a third (Andy) that they're having affairs with each other's girlfriends. The host (Bill) tries to keep his weekly ritual intact as it begins to crumble around him.",,,,,
1831,Lost in Space (1998),Action|Sci-Fi|Thriller,Stephen Hopkins,120738.0,1831.0,"The prospects for continuing life on Earth in the year 2058 are grim. So the Robinsons are launched into space to colonize Alpha Prime, the only other inhabitable planet in the galaxy. But when a stowaway sabotages the mission, the Robinsons find themselves hurtling through uncharted space.",13.156,United States of America,1998-04-03,2157.0,5.2
1832,Heaven's Burning (1997),Action|Drama,Craig Lahiff,119272.0,1832.0,"In Sydney, the newly married Midori is honeymooning with her husband, Yukio. She does not love him and fakes her own kidnapping to escape the marriage. Her lover is supposed to meet her, but fails to appear. She goes to a bank to get some cash, only to become a hostage in an unfolding robbery, until the getaway driver, Colin, saves her from his fellow robbers. They hit the road together, with the cops, her husband and the robbers in pursuit.",1.739,Australia,1997-09-04,70581.0,5.3
1833,Mercury Rising (1998),Action|Drama|Thriller,Harold Becker,120749.0,1833.0,"Renegade FBI agent Art Jeffries protects a nine-year-old autistic boy who has cracked the government's new ""unbreakable"" code.",8.87,United States of America,1998-04-03,8838.0,6.2
1834,"Spanish Prisoner, The (1997)",Drama|Thriller,David Mamet,120176.0,1834.0,An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that.,4.758,United States of America,1998-01-07,29193.0,7.0
1835,City of Angels (1998),Romance,Brad Silberling,120632.0,1835.0,"When guardian angel Seth -- who invisibly watches over the citizens of Los Angeles -- becomes captivated by Maggie, a strong-willed heart surgeon, he ponders trading in his pure, otherworldly existence for a mortal life with his beloved. The couple embarks on a tender but forbidden romance spanning heaven and Earth.",12.07,United States of America,1998-04-10,795.0,6.6
1836,"Last Days of Disco, The (1998)",Drama,Whit Stillman,120728.0,1836.0,Two young women and their friends spend spare time at an exclusive nightclub in 1980s New York.,5.16,United States of America,1998-05-29,16980.0,6.6
1837,"Odd Couple II, The (1998)",Comedy,Howard Deutch,120773.0,1837.0,"30 years after the first film, Oscar and Felix embark on a road trip together, to attend the wedding of Oscar's son to Felix's daughter.",3.305,United States of America,1998-04-09,27472.0,6.4
1839,My Giant (1998),Comedy,Pam Dixon,120765.0,1839.0,"Billy Crystal plays a Hollywood agent who stumbles upon Max, a giant living in Romania, and tries to get him into the movies.",3.221,,1998-04-10,47881.0,5.3
1840,He Got Game (1998),Drama,Spike Lee,124718.0,1840.0,A basketball player's father must try to convince him to go to a college so he can get a shorter sentence.,6.192,United States of America,1998-05-01,9469.0,6.7
1841,"Gingerbread Man, The (1998)",Drama|Thriller,Robert Altman,119196.0,1841.0,"Savannah lawyer Rick Magruder is at a party celebrating his courtroom victory defending a cop killer when a member of the catering staff, Mallory Doss, discovers her car has been stolen. Having had a few drinks, Magruder offers to give her a lift home, a decision that turns into a one night stand. Rick soon learns that her nut-case father, Dixon, seems to have begun threatening her again. Rick puts the force of his law firm behind Mallory, who he barely knows, has Dixon picked up by the police, and subpoenas the girl's belligerent ex-husband, Pete, to testify against the old man. Dixon is put away in an asylum. However, he soon escapes, putting the lives of everyone who conspired against him in jeopardy.",7.204,United States of America,1998-01-23,12488.0,5.5
1842,Illtown (1996),Crime|Drama,Nick Gomez,118229.0,1842.0,"Dante and his girlfrend Micky run a very profitable drug operation in a seaside town, aided and abetted by a host of teens who sell the smack at discos around town, as well as by Lucas, a corrupt cop who's on the take. Their downfall comes when they suspect one of the boys, Pep, of ripping them off, and his accidental death causes disloyalty among the teens, who suspect Dante offed them. All of this is perfect for the return of Gabriel, a one-time partner of Dante, who has just been released from jail, and has an almost angelic demeanor and the certainty that he can fix everyone's lives.",0.621,United States of America,1996-07-09,98499.0,5.0
1843,Slappy and the Stinkers (1998),Children's|Comedy,Barnet Kellman,120213.0,1843.0,"Five 2nd-grade kids who don't follow strict rules by their school principal Brinway are dubbed ""Stinkers"" by him. On the class visit to an aquarium the Stinkers decide that a sea lion called Slappy doesn't feel too good there, ""free"" him, and plant him into Brinway's hot-tub.",1.176,United States of America,1998-01-23,81367.0,5.4
1844,Live Flesh (1997),Drama,Pedro Almodóvar,,,A scorned ex-convict forces himself into the lives of the couple who put him behind bars.,6.473,France,1997-10-28,,7.2
1845,Zero Effect (1998),Comedy|Thriller,,120906.0,1845.0,"Daryl Zero is a private investigator. Along with his assistant, Steve Arlo he solves impossible crimes and puzzles. Though a master investigator, when he is not working, Zero doesn't know what to do with himself. He has no social skills, writes bad music, and drives Arlo crazy. In his latest case, Zero must find out who is blackmailing a rich executive, and when his client won't tell him, why.",,,,16148.0,
1846,Nil By Mouth (1997),Drama,Gary Oldman,119792.0,1846.0,"The family of Raymond, his wife Val and her brother Billy live in working-class London district. Also in their family is Val and Billy's mother Janet and grandmother Kath. Billy is a drug addict and Raymond kicks him out of the house, making him live on his own. Raymond is generally a rough and even violent person, and that leads to problems in the life of the family.",2.684,United Kingdom,1997-05-08,21252.0,7.1
1847,Ratchet (1996),Drama|Thriller,Jericca Cleland,,,"Ratchet and Clank tells the story of two unlikely heroes as they struggle to stop a vile alien named Chairman Drek from destroying every planet in the Solana Galaxy. When the two stumble upon a dangerous weapon capable of destroying entire planets, they must join forces with a team of colorful heroes called The Galactic Rangers in order to save the galaxy. Along the way they'll learn about heroism, friendship, and the importance of discovering one's own identity.",9.777,Canada,2016-04-13,,5.4
1848,"Borrowers, The (1997)",Adventure|Children's|Comedy|Fantasy,Peter Hewitt,118755.0,1848.0,"The four-inch-tall Clock family secretly share a house with the normal-sized Lender family, ""borrowing"" such items as thread, safety pins, batteries and scraps of food. However, their peaceful co-existence is disturbed when evil lawyer Ocious P. Potter steals the will granting title to the house, which he plans to demolish in order to build apartments. The Lenders are forced to move, and the Clocks face the risk of being exposed to the normal-sized world.",7.563,United Kingdom,1997-12-11,9449.0,5.9
1849,Prince Valiant (1997),Adventure,Anthony Hickox,119947.0,1849.0,"An Arthurian legend of young Prince Valiant, son of the King of Scandia. After the King is exiled by an evil leader, the Prince travels to Camelot to secure the aid of King Arthur in helping restore his family to power and prevent a plot by the Black Knight.",7.645,Germany,1997-07-24,6264.0,5.4
1850,"I Love You, Don't Touch Me! (1998)",Drama|Romance,Julie Davis,130019.0,1850.0,"The story of a 25 year old virgin girl, looking for the right boyfriend, not realizing that ""the one"" has been next to her for many years.",0.6,United States of America,1997-01-21,90414.0,6.0
1851,Leather Jacket Love Story (1997),Drama|Romance,David DeCoteau,119508.0,1851.0,"Kyle is 18, an aspiring poet hoping to find inspiration by moving to the arty Silver Lake neighborhood of LA, and maybe love too. On day one, he finds a funky coffee shop, where he hopes to do some writing, but instead meets an older hunk.",0.681,United States of America,1998-02-20,188870.0,8.0
1852,Love Walked In (1998),Drama|Thriller,Juan José Campanella,118727.0,1852.0,Two romantically involved down-and-out lounge singers get involved in a caper.,1.4,,1997-01-18,215373.0,6.0
1853,"Alan Smithee Film: Burn Hollywood Burn, An (1997)",Comedy,Alan Smithee,118577.0,1853.0,"Filmmaker Alan Smithee finds himself the unwilling puppet of a potentially bad, big budget action film which he proceeds to steal the reels and leave the cast and crew in a frenzy.",1.978,United States of America,1998-02-20,78149.0,4.4
1854,Kissing a Fool (1998),Comedy|Romance,Doug Ellin,120723.0,1854.0,"Max (David Schwimmer), an alpha-male commitment-phobic sports broadcaster, and Jay (Jason Lee), a neurotic novelist, have been best friends since childhood. Jay sets Max up with his editor Samantha (Mili Avital). Although they share few interests, they are engaged within two weeks. Still, when Max is confronted with the fact that Sam will be the last woman he will sleep with, he proposes a test. Jay will hit on Sam. If she shows no interest, then Max will be confident enough in her loyalty to go ahead with the marriage. Though when Jay hits on Sam, they end up falling in love with each other.",3.2060000000000004,United States of America,1998-02-27,15513.0,5.7
1855,Krippendorf's Tribe (1998),Comedy,Todd Holland,120725.0,1855.0,"After squandering his grant money, despondent and recently widowed anthropologist James Krippendorf must produce hard evidence of the existence of a heretofore undiscovered New Guinea tribe. Grass skirts, makeup, and staged rituals transform his three troubled children into the Shelmikedmu, a primitive culture whose habits enthrall scholars. But when a spiteful rival threatens to blow the whistle on Krippendorf's ruse, he gets into the act as well.",4.04,United States of America,1998-02-27,31220.0,4.7
1856,Kurt & Courtney (1998),Documentary|Musical,Nick Broomfield,138563.0,1856.0,"After rocker Kurt Cobain's death, ruled a suicide, a film crew arrives in Seattle to make a documentary. Director Nick Broomfield talks to lots of people. Portraits emerge: a shy, slight Kurt, weary of touring, embarrassed by fame, hooked on heroin; an out-going Courtney, dramatic, controlling, moving from groupie to star.",2.5380000000000003,United States of America,1998-02-27,13907.0,6.0
1857,"Real Blonde, The (1997)",Comedy,Tom DiCillo,119987.0,1857.0,"An aspiring actor and his girlfriend handle life's frustrations, while his friend seeks fulfillment with a blonde.",2.097,United States of America,1998-02-27,29825.0,5.6
1858,Mr. Nice Guy (1997),Action|Comedy,Sammo Hung,,,A Chinese chef accidentally gets involved with a news reporter who filmed a drug bust that went awry and is now being chased by gangs who are trying to get the video tape.,8.571,Hong Kong,1997-01-31,,6.2
1859,Taste of Cherry (1997),Drama,Abbas Kiarostami,,,"A middle-aged Tehranian man, Mr. Badii is intent on killing himself and seeks someone to bury him after his demise. Driving around the city, the seemingly well-to-do Badii meets with numerous people, including a Muslim student, asking them to take on the job, but initially he has little luck. Eventually, Badii finds a man who is up for the task because he needs the money, but his new associate soon tries to talk him out of committing suicide.",4.488,France,1997-09-28,,7.3
1860,Character (Karakter) (1997),Drama,Mike van Diem,119448.0,1860.0,"J.W. Katadreuffe is the son of Joba Katadreuffe and A.B. Drevenhaven. Though fully neglected by Joba, Dreverhaven ensures the succesfull career of his son. Mostly unseen, though he sues his son a few times. The son Katadreuffe succeeds, but at great costs.",3.856,Belgium,1997-04-17,17139.0,7.5
1861,Junk Mail (1997),Comedy|Thriller,Pål Sletaune,,,"Dimwitted, somewhat misanthropic Oslo mail carrier Roy's quiet life changes dramatically on the day he steals a set of keys and lets himself into the apartment of a deaf woman who seems to be in trouble with a psychotic criminal. Though he doesn't know it at the time, his and her fate are about to intertwine and this is not going to be to his benefit.",1.478,Norway,1997-02-21,,6.8
1862,Species II (1998),Horror|Sci-Fi,Peter Medak,120841.0,1862.0,"Having just returned from a mission to Mars, Commander Ross isn't exactly himself. He's slowly becoming a terrifying alien entity with one goal -- to procreate with human women! When countless women suffer gruesome deaths after bearing half-alien offspring, scientist Laura Baker and hired assassin Press Lennox use Eve, a more tempered alien clone, to find Ross and his brood. Before long Eve escapes to mate with Ross.",8.013,United States of America,1998-04-10,10216.0,4.6
1863,Major League: Back to the Minors (1998),Comedy,John Warren,120742.0,1863.0,At the behest of Roger Dorn -- the Minnesota Twins' silver-tongued new owner -- washed-up minor league hurler Gus Cantrell steps up to the plate to take over as skipper of the club's hapless farm team. But little does he know that Dorn has an ulterior motive to generate publicity with a grudge match between the big leaguers and their ragtag Triple A affiliate.,4.857,United States of America,1998-04-17,9771.0,4.3
1864,Sour Grapes (1998),Comedy,Larry David,120838.0,1864.0,"Richie, a sneaker sole designer, and his cousin Evan, a brain surgeon, are spending this weekend with their girlfriends in Atlantic City. When one of them ends up with a $436,000 jackpot, sour grapes is what results. Even though Richie uses two quarters from Evan to win the progressive jackpot, he sees no connection with that and sharing the jackpot. This ignites a hilarious, runaway chain of even",1.113,United States of America,1998-01-01,24560.0,5.3
1865,Wild Man Blues (1998),Documentary,Barbara Kopple,,,"Wild Man Blues is a 1998 documentary film directed by Barbara Kopple, about the musical avocation of actor/director/comic Woody Allen. The film takes its name from a jazz composition sometimes attributed to Jelly Roll Morton and sometimes to Louis Armstrong and recorded by both (among others). Allen's love of early 20th century New Orleans music is depicted through his 1996 tour of Europe with his New Orleans Jazz Band. Allen has played clarinet with this band for over 25 years. Although Allen's European tour is the film's primary focus, it was also notable as the first major public showcase for Allen's relationship with Soon-Yi Previn.",1.756,United States of America,1997-01-16,,6.4
1866,"Big Hit, The (1998)",Action|Comedy,Kirk Wong,120609.0,1866.0,"Affable hit man Melvin Smiley is constantly being scammed by his cutthroat colleagues in the life-ending business. So, when he and his fellow assassins kidnap the daughter of an electronics mogul, it's naturally Melvin who takes the fall when their prime score turns sour. That's because the girl is the goddaughter of the gang's ruthless crime boss. But, even while dodging bullets, Melvin has to keep his real job secret from his unsuspecting fiancée, Pam.",7.198,United States of America,1998-04-24,9448.0,5.9
1867,Tarzan and the Lost City (1998),Action|Adventure,Carl Schenkel,120856.0,1867.0,Tarzan returns to his homeland of Africa to save his home from destruction.,1.2919999999999998,Australia,1998-04-24,38618.0,3.8
1868,"Truce, The (1996)",Drama|War,Sergio Renán,,,"A man has to come to terms with his wasted youth, estranged family and grim prospects for the future.",1.4,Argentina,1974-08-01,,7.1
1869,Black Dog (1998),Action|Thriller,Kevin Hooks,120610.0,1869.0,An ex-con takes a job driving a truck cross country. What he doesn't know is that the truck is filled with illegal weapons and now he must fight to survive and save his family.,6.751,France,1998-05-01,18316.0,5.2
1870,"Dancer, Texas Pop. 81 (1998)",Comedy|Drama,Tim McCanlies,118925.0,1870.0,"Four guys, best friends, have grown up together in DANCER, TEXAS POP. 81, a tiny town in West Texas. Years ago, they made a solemn vow to leave town together as soon as they graduate. Now, it's that weekend and the time has come to ""put up or shut up."" The clock is ticking and as all 81 people in the town watch, comment, offer advice and place bets, these four very different boys with unique backgrounds struggle with the biggest decision of their lives... whether to stay or leave home.",1.4,United States of America,1998-05-01,78373.0,7.3
1871,"Friend of the Deceased, A (1997)",Comedy|Drama,Leonid Boyko,,,"Tolla is an unemployed translator whose wife is leaving him. Despondent and weak, he submits to the suggestion of an acquaintance to have a contract placed on the man that his wife is seeing. Instead, however, he arranges for the hit to be placed on himself. Before the contract is executed, he develops a relationship with a prostitute, and then changes his mind. In order to survive he takes the obvious course of action, which turns out to have possibly been unnecessary, and then he must deal with the guilt.",1.4,Ukraine,1997-09-10,,5.0
1872,Go Now (1995),Drama,Michael Winterbottom,113184.0,1872.0,"Nick, is a young Scottish soccer player living in the big city. He meets Karen, and the two fall in love and move in together. Soon after, Nick exhibits signs of serious illness. As his body slowly succumbs to multiple sclerosis, he experiences a wide sweep of jagged emotions, and in the process gives himself and those who love him the strength to carry on.",0.961,United Kingdom,1995-09-16,49474.0,7.5
1873,"Mis�rables, Les (1998)",Drama,,,,,,,,,
1874,Still Breathing (1997),Comedy|Romance,James F. Robinson,120211.0,1874.0,"Two lost souls: she a con-artist in L.A.; he a puppeteer in San Antonio have the same dream linking each with the other. He travels to L.A. to find this woman he has become obsessed with. She resists, afraid of his kooky ideas until she travels with him to San Antonio and meets his wise grandmother. Story of two disparate people linked by ""fate"" gets increasingly interesting as it rolls along.",2.073,,1997-09-01,39467.0,5.0
1875,Clockwatchers (1997),Comedy,Jill Sprecher,118866.0,1875.0,"The relationship between four female temps all working for the same credit company is threatened with the arrival of a new hire, who lands a permanent position one of the women was vying for.",2.026,,1997-01-01,55561.0,5.7
1876,Deep Impact (1998),Action|Drama|Sci-Fi|Thriller,Mimi Leder,120647.0,1876.0,"A seven-mile-wide space rock is hurtling toward Earth, threatening to obliterate the planet. Now, it's up to the president of the United States to save the world. He appoints a tough-as-nails veteran astronaut to lead a joint American-Russian crew into space to destroy the comet before impact. Meanwhile, an enterprising reporter uses her smarts to uncover the scoop of the century.",13.734,United States of America,1998-05-08,8656.0,6.0
1877,Little Men (1998),Drama,Rodney Gibbons,145048.0,1877.0,"In this adaptation of the classic novel by Louisa May Alcott, two street kids from Boston find themselves at Plumfield, a rural boarding school run by Jo and her husband -- and they soon learn academic and life lessons they won't ever forget.",0.6,,1998-05-08,209345.0,0.0
1878,Woo (1998),Comedy|Romance,Daisy von Scherler Mayer,120531.0,1878.0,Gorgeous and extraverted Woo meets insecure and straight-laced law clerk Tim at a blind date.,1.176,United States of America,1998-05-08,58680.0,4.5
1879,"Hanging Garden, The (1997)",Drama,Thom Fitzgerald,125128.0,1879.0,"William, a once obese and troubled teen, goes back to his family's home after being gone, without word, for ten years and finds it (and his family) haunted with his past. He had moved to the city and become a fit, well-adjusted gay man, but during his visit home, he becomes unhinged as the newly remembered reasons for his miserable adolescence come to life in each of their presents.",1.571,,1997-01-01,35161.0,7.0
1880,Lawn Dogs (1997),Drama,John Duigan,119506.0,1880.0,"In the affluent, gated community of Camelot Gardens, bored wives indiscriminately sleep around while their unwitting husbands try desperately to climb the social ladder. Trent, a 21-year-old outsider who mows the neighborhood lawns, quietly observes the infidelities and hypocrisies of this overly privileged society. When Devon, a 10-year-old daughter from one family, forges a friendship with Trent, things suddenly get very complicated.",4.572,United Kingdom,1997-11-21,35796.0,7.5
1881,Quest for Camelot (1998),Adventure|Animation|Children's|Fantasy,John Williamson,120800.0,1881.0,"During the times of King Arthur, Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthur, and Kayley has to stop him.",10.396,United States of America,1998-05-15,18937.0,6.9
1882,Godzilla (1998),Action|Sci-Fi,Roland Emmerich,120685.0,1882.0,"When a freighter is viciously attacked in the Pacific Ocean, a team of experts -- including biologist Niko Tatopoulos and scientists Elsie Chapman and Mendel Craven -- concludes that an oversized reptile is the culprit. Before long, the giant lizard is loose in Manhattan, destroying everything within its reach. The team chases the monster to Madison Square Garden, where a brutal battle ensues.",12.478,United States of America,1998-05-20,929.0,5.5
1883,Bulworth (1998),Comedy,Warren Beatty,118798.0,1883.0,A suicidally disillusioned liberal politician puts a contract out on himself and takes the opportunity to be bluntly honest with his voters by affecting the rhythms and speech of hip-hop music and culture.,6.367000000000001,United States of America,1998-05-15,9452.0,6.3
1884,Fear and Loathing in Las Vegas (1998),Comedy|Drama,Terry Gilliam,120669.0,1884.0,"Raoul Duke and his attorney Dr. Gonzo drive a red convertible across the Mojave desert to Las Vegas with a suitcase full of drugs to cover a motorcycle race. As their consumption of drugs increases at an alarming rate, the stoned duo trash their hotel room and fear legal repercussions. Duke begins to drive back to L.A., but after an odd run-in with a cop, he returns to Sin City and continues his wild drug binge.",12.640999999999998,United States of America,1998-05-22,1878.0,7.2
1885,"Opposite of Sex, The (1998)",Comedy|Drama,Michael Besman,120777.0,1885.0,"A 16-year-old girl visits her gay half-brother and ends up seducing his boyfriend, thus wreaking havoc on all of their lives.",6.939,United States of America,1998-05-22,9844.0,6.0
1886,I Got the Hook Up (1998),Comedy,Michael Martin,131436.0,1886.0,"Two broke buddies feel lucky when they come upon a truckload of cellular phones and begin selling them out of the back of their van. Trouble arises though, when the phones develop faults. The two friends then not only have to deal with unsatisfied customers but also the FBI.",1.4,United States of America,1998-05-27,40505.0,6.1
1887,Almost Heroes (1998),Adventure|Comedy,Christopher Guest,119053.0,1887.0,"Two hapless explorers lead an ill-fated 1804 expedition through the Pacific Northwest in a hopeless, doomed effort to reach the Pacific Ocean before Lewis and Clark.",4.857,United States of America,1998-05-29,14342.0,5.6
1888,Hope Floats (1998),Comedy|Drama|Romance,Forest Whitaker,119313.0,1888.0,"Birdee Pruitt has been humiliated on live television by her best friend, Connie, who's been sleeping with Birdee's husband, Bill. Birdee tries starting over with her daughter, Bernice, by returning to her small Texas hometown, but she's faced with petty old acquaintances who are thrilled to see Birdee unhappy -- except for her friend Justin. As he helps Birdee get back on her feet, love begins to blossom.",7.065,United States of America,1998-05-29,9715.0,6.0
